Airport,Nearest Airport,Distance (km),Flight Time (hours),Fuel Required (liters)
Goroka Airport,Chimbu Airport,47.036810608485084,0.05879601326060636,146.9900331515159
Goroka Airport,Madang Airport,106.2489585209369,0.13281119815117112,332.0279953779278
Goroka Airport,Mount Hagen Kagamuga Airport,124.58232437170491,0.15572790546463114,389.31976366157784
Goroka Airport,Nadzab Airport,157.1600934092711,0.19645011676158888,491.1252919039722
Goroka Airport,Baimuru Airport,168.79772810558188,0.21099716013197736,527.4929003299434
Madang Airport,Goroka Airport,106.2489585209369,0.13281119815117112,332.0279953779278
Madang Airport,Chimbu Airport,127.9839738693088,0.159979967336636,399.94991834159
Madang Airport,Mount Hagen Kagamuga Airport,179.0664824962646,0.22383310312033075,559.5827578008269
Madang Airport,Nadzab Airport,182.9614779919437,0.2287018474899296,571.754618724824
Madang Airport,Wapenamanda Airport,215.371837381356,0.26921479672669496,673.0369918167374
Mount Hagen Kagamuga Airport,Wapenamanda Airport,48.832660055188,0.061040825068985,152.6020626724625
Mount Hagen Kagamuga Airport,Chimbu Airport,77.86625565007472,0.0973328195625934,243.33204890648352
Mount Hagen Kagamuga Airport,Mendi Airport,79.15219499667306,0.09894024374584133,247.35060936460332
Mount Hagen Kagamuga Airport,Goroka Airport,124.58232437170491,0.15572790546463114,389.31976366157784
Mount Hagen Kagamuga Airport,Moro Airport,131.2869199253339,0.16410864990666738,410.2716247666684
Nadzab Airport,Bulolo Airport,71.99215048744624,0.0899901881093078,224.9754702732695
Nadzab Airport,Kaintiba Airport,128.20363440730327,0.16025454300912909,400.6363575228227
Nadzab Airport,Goroka Airport,157.1600934092711,0.19645011676158888,491.1252919039722
Nadzab Airport,Madang Airport,182.9614779919437,0.2287018474899296,571.754618724824
Nadzab Airport,Kerema Airport,186.76610990196872,0.2334576373774609,583.6440934436522
Port Moresby Jacksons International Airport,Efogi Airport,57.970456888099655,0.07246307111012457,181.1576777753114
Port Moresby Jacksons International Airport,Kagi Airport,59.956740267699196,0.07494592533462399,187.36481333656
Port Moresby Jacksons International Airport,Nadunumu Airport,60.83832174607057,0.07604790218258821,190.11975545647053
Port Moresby Jacksons International Airport,Bodinumu Airport,61.53787968501606,0.07692234960627008,192.3058740156752
Port Moresby Jacksons International Airport,Girua Airport,139.00086562709592,0.1737510820338699,434.37770508467474
Wewak International Airport,Wapenamanda Airport,229.11577389490887,0.2863947173686361,715.9867934215902
Wewak International Airport,Mount Hagen Kagamuga Airport,257.5998784494252,0.3219998480617815,804.9996201544537
Wewak International Airport,Tari Airport,262.52658154129654,0.32815822692662067,820.3955673165517
Wewak International Airport,Vanimo Airport,280.8670157784561,0.35108376972307015,877.7094243076754
Wewak International Airport,Mendi Airport,283.5265583686903,0.35440819796086287,886.0204949021572
Narsarsuaq Airport,Narsaq Heliport,43.68164822271666,0.05460206027839583,136.50515069598956
Narsarsuaq Airport,Qaqortoq Heliport,59.40147070699855,0.07425183838374819,185.62959595937048
Narsarsuaq Airport,Ammassivik Heliport,62.79178998282692,0.07848973747853365,196.22434369633413
Narsarsuaq Airport,Eqalugaarsuit Heliport,65.82646183246459,0.08228307729058074,205.70769322645185
Narsarsuaq Airport,Alluitsup Paa Heliport,77.94841338519942,0.09743551673149926,243.58879182874816
Godthaab / Nuuk Airport,Maniitsoq Airport,148.79590357555062,0.18599487946943827,464.9871986735957
Godthaab / Nuuk Airport,Paamiut Heliport,265.3506158999052,0.33168826987488154,829.2206746872039
Godthaab / Nuuk Airport,Kangerlussuaq Airport,317.71248683755033,0.3971406085469379,992.8515213673447
Godthaab / Nuuk Airport,Sisimiut Airport,321.9820851530877,0.40247760644135966,1006.1940161033991
Godthaab / Nuuk Airport,Attu Heliport,427.2413617077804,0.5340517021347255,1335.129255336814
Kangerlussuaq Airport,Sisimiut Airport,131.89233026947724,0.16486541283684655,412.1635320921164
Kangerlussuaq Airport,Attu Heliport,161.87182377979738,0.20233977972474673,505.8494493118668
Kangerlussuaq Airport,Niaqornaarsuk Heliport,164.04158098130674,0.20505197622663343,512.6299405665836
Kangerlussuaq Airport,Ikerassaarsuk Heliport,171.31636428275434,0.21414545535344293,535.3636383836073
Kangerlussuaq Airport,Kangaatsiaq Heliport,186.0755790064278,0.23259447375803474,581.4861843950869
Thule Air Base,Qaanaaq Airport,108.25628359252804,0.13532035449066004,338.3008862266501
Thule Air Base,Savissivik Heliport,110.87621099570718,0.138595263744634,346.48815936158496
Thule Air Base,Siorapaluk Heliport,148.12720683860596,0.18515900854825745,462.89752137064363
Thule Air Base,Grise Fiord Airport,370.20554077746493,0.46275692597183116,1156.8923149295779
Thule Air Base,Kullorsuaq Heliport,385.9553657512105,0.4824442071890131,1206.1105179725328
Akureyri Airport,Húsavík Airport,44.017724409364355,0.055022155511705445,137.5553887792636
Akureyri Airport,Reykjahlíð Airport,53.126928574700045,0.06640866071837506,166.02165179593766
Akureyri Airport,Siglufjörður Airport,65.31109732319096,0.0816388716539887,204.09717913497175
Akureyri Airport,Sauðárkrókur Airport,69.38215988270234,0.08672769985337793,216.81924963344483
Akureyri Airport,Grímsey Airport,98.80595491355277,0.12350744364194095,308.7686091048524
Egilsstaðir Airport,Norðfjörður Airport,34.999790215950476,0.043749737769938096,109.37434442484525
Egilsstaðir Airport,Vopnafjörður Airport,53.00642617472531,0.06625803271840663,165.6450817960166
Egilsstaðir Airport,Thorshofn Airport,112.72818645702674,0.14091023307128342,352.27558267820854
Egilsstaðir Airport,Hornafjörður Airport,116.90640133542435,0.14613300166928045,365.33250417320113
Egilsstaðir Airport,Reykjahlíð Airport,123.80238513965338,0.15475298142456673,386.8824535614168
Hornafjörður Airport,Egilsstaðir Airport,116.90640133542435,0.14613300166928045,365.33250417320113
Hornafjörður Airport,Norðfjörður Airport,116.94708408946681,0.14618385511183352,365.4596377795838
Hornafjörður Airport,Kirkjubæjarklaustur Airport,146.73961169164699,0.18342451461455872,458.5612865363968
Hornafjörður Airport,Vopnafjörður Airport,159.86548176690494,0.19983185220863117,499.57963052157794
Hornafjörður Airport,Reykjahlíð Airport,171.37115795558793,0.2142139474444849,535.5348686112122
Húsavík Airport,Reykjahlíð Airport,40.410676723979755,0.050513345904974694,126.28336476243673
Húsavík Airport,Akureyri Airport,44.017724409364355,0.055022155511705445,137.5553887792636
Húsavík Airport,Siglufjörður Airport,70.51921471244785,0.08814901839055982,220.37254597639955
Húsavík Airport,Grímsey Airport,71.3211535594691,0.08915144194933637,222.87860487334092
Húsavík Airport,Thorshofn Airport,99.13890855373322,0.12392363569216652,309.8090892304163
Ísafjörður Airport,Bildudalur Airport,50.12118821409388,0.06265148526761735,156.62871316904338
Ísafjörður Airport,Patreksfjörður Airport,67.65721880733678,0.08457152350917096,211.42880877292743
Ísafjörður Airport,Gjögur Airport,82.31948318657605,0.10289935398322006,257.24838495805017
Ísafjörður Airport,Grundarfjörður Airport,119.00889104772047,0.1487611138096506,371.9027845241265
Ísafjörður Airport,Sauðárkrókur Airport,166.42295778844965,0.20802869723556205,520.0717430889051
Keflavik International Airport,Reykjavik Airport,36.27309540140968,0.0453413692517621,113.35342312940524
